Usia Responden,Semester Responden,Jumlah Hubungan Responden,Durasi Rata-rata Hubungan Responden,Jumlah Kencan Responden,Tingkat Kepuasan Responden dalam Hubungan,Tingkat Kekuatan Cinta Responden dalam Hubungan,Tingkat Keterbukaan Komunikasi Responden dalam Hubungan,Respon Teman & Keluarga terhadap Hubungan Responden,Pengaruh Media Sosial terhadap Hubungan Responden,Frekuensi Konflik dalam Hubungan Responden,Penyelesaian Responden & Pasangan terhadap Konflik,Pengaruh Hubungan terhadap Performa Akademik Responden,Perubahan IPK yang Dialami Responden,Pendapat Responden terhadap Hubungan Terakhir,Media atau Bagaimana Responden Bertemu dengan Pasangan,Jenis Kelamin,Fakultas Responden,Status Responden Saat Ini,Status Responden Sebelumnya
21,4.0,1.0,4.0,4.0,5.0,4.0,2.0,3.0,3.0,3.0,5.0,Tidak,,Sangat mengganggu,Melalui teman,1,3,Ya,1
19,4.0,3.0,11.0,3.0,3.0,2.0,4.0,5.0,2.0,5.0,2.0,Ya,Naik,Sangat mengganggu,Di kampus/organisasi,0,4,Ya,1
20,6.0,4.0,13.0,1.0,2.0,2.0,5.0,2.0,4.0,2.0,3.0,Ya,Naik,Sangat mengganggu,Melalui teman,1,6,Ya,1
20,4.0,,,,,,,,,,,,,,,1,8,,0
19,2.0,,,,,,,,,,,,,,,0,6,,0
19,4.0,5.0,7.0,3.0,2.0,5.0,4.0,5.0,2.0,5.0,3.0,Ya,Naik,Sangat mendukung,"Media sosial (Instagram, Twitter, dsb.)",1,1,Ya,1
21,4.0,,,,,,,,,,,,,,,1,3,,0
19,4.0,1.0,18.0,1.0,2.0,5.0,5.0,2.0,2.0,3.0,3.0,Tidak,,Sangat mendukung,"Media sosial (Instagram, Twitter, dsb.)",1,1,Ya,1
20,4.0,2.0,18.0,4.0,5.0,5.0,2.0,4.0,4.0,2.0,3.0,Tidak,,Sangat mengganggu,Di kampus/organisasi,0,3,Tidak,1
21,4.0,1.0,24.0,2.0,4.0,3.0,5.0,5.0,5.0,4.0,4.0,Tidak,,Sangat mendukung,Melalui teman,1,6,Tidak,1
21,4.0,3.0,11.0,1.0,4.0,4.0,2.0,3.0,3.0,3.0,2.0,Tidak,,Sangat mendukung,Di kampus/organisasi,1,6,Tidak,1
20,4.0,2.0,13.0,2.0,4.0,3.0,5.0,3.0,4.0,2.0,5.0,Ya,Turun,Cukup mendukung,Di kampus/organisasi,1,6,Ya,1
21,4.0,5.0,17.0,1.0,2.0,4.0,2.0,2.0,3.0,2.0,2.0,Tidak,,Cukup mengganggu,Di kampus/organisasi,1,8,Tidak,1
22,6.0,4.0,19.0,2.0,4.0,5.0,3.0,2.0,2.0,3.0,3.0,Tidak,,Sangat mengganggu,Di kampus/organisasi,1,8,Tidak,1
19,4.0,,,,,,,,,,,,,,,1,1,,0
21,4.0,,,,,,,,,,,,,,,0,3,,0
22,6.0,,,,,,,,,,,,,,,1,2,,0
21,4.0,1.0,23.0,3.0,3.0,3.0,3.0,4.0,5.0,5.0,5.0,Tidak,,Sangat mengganggu,Di kampus/organisasi,1,1,Tidak,1
21,4.0,,,,,,,,,,,,,,,0,1,,0
21,4.0,2.0,32.0,3.0,4.0,4.0,2.0,2.0,2.0,2.0,5.0,Tidak,,Netral,Di kampus/organisasi,0,1,Ya,1
23,6.0,4.0,15.0,3.0,3.0,2.0,4.0,4.0,2.0,4.0,4.0,Tidak,,Cukup mendukung,"Aplikasi kencan (Tinder, Bumble, dll)",1,8,Ya,1
19,4.0,2.0,27.0,3.0,4.0,3.0,4.0,2.0,3.0,3.0,3.0,Ya,Naik,Cukup mendukung,Melalui teman,1,1,Ya,1
22,6.0,1.0,10.0,2.0,5.0,2.0,5.0,5.0,5.0,2.0,3.0,Ya,Turun,Sangat mendukung,Melalui teman,1,8,Ya,1
21,4.0,5.0,13.0,1.0,4.0,3.0,2.0,4.0,2.0,3.0,5.0,Tidak,,Netral,Melalui teman,1,1,Ya,1
